nct_id,number
NCT00000135,41
NCT00000378,30
NCT00000620,1228
NCT00001213,18
NCT00001259,2
NCT00001262,24
NCT00001277,3
NCT00001566,19
NCT00001575,45
NCT00001596,27
NCT00001703,5
NCT00001723,29
NCT00001832,62
NCT00001849,14
NCT00001880,14
NCT00001941,1
NCT00001959,3
NCT00001962,28
NCT00002525,186
NCT00002540,3265
NCT00002558,1
NCT00002597,49
NCT00002651,3041
NCT00002663,35
NCT00002766,7
NCT00002842,27
NCT00002850,11
NCT00002874,80
NCT00002931,2
NCT00002981,6
NCT00003102,6
NCT00003138,189
NCT00003199,22
NCT00003222,1
NCT00003298,35
NCT00003377,3
NCT00003389,158
NCT00003456,8
NCT00003457,9
NCT00003458,4
NCT00003470,6
NCT00003471,4
NCT00003472,3
NCT00003473,3
NCT00003474,14
NCT00003475,13
NCT00003476,1
NCT00003477,4
NCT00003479,3
NCT00003483,1
NCT00003487,2
NCT00003492,6
NCT00003498,4
NCT00003499,8
NCT00003508,5
NCT00003509,5
NCT00003511,4
NCT00003526,6
NCT00003531,10
NCT00003535,5
NCT00003537,1
NCT00003590,22
NCT00003631,13
NCT00003641,743
NCT00003645,24
NCT00003656,1
NCT00003659,3
NCT00003702,24
NCT00003782,87
NCT00003830,1625
NCT00003838,33
NCT00003869,53
NCT00003875,1
NCT00003895,11
NCT00003896,29
NCT00003901,17
NCT00003907,36
NCT00004031,46
NCT00004088,9
NCT00004124,32
NCT00004228,92
NCT00004259,5
NCT00004412,3
NCT00004445,3
NCT00004562,193
NCT00004563,49
NCT00004635,27
NCT00004732,180
NCT00004859,400
NCT00004888,35
NCT00004978,514
NCT00004980,4
NCT00005044,90
NCT00005047,19
NCT00005780,1
NCT00005879,18
NCT00005906,3
NCT00005908,1
NCT00005937,5
NCT00005947,98
NCT00005957,36
NCT00006011,215
NCT00006046,5
NCT00006164,151
NCT00006184,1
NCT00006237,186
NCT00006289,3
NCT00006305,56
NCT00006389,1
NCT00006392,645
NCT00006409,661
NCT00006436,3
NCT00006478,7
NCT00006489,53
NCT00006604,96
NCT00006721,62
NCT00006903,20
NCT00006916,5
NCT00007020,44
NCT00007345,13
NCT00007475,4
NCT00008138,30
NCT00008385,1189
NCT00009737,293
NCT00009945,12
NCT00010257,1
NCT00010374,1
NCT00010803,195
NCT00012012,4
NCT00013611,191
NCT00014495,2
NCT00014911,11
NCT00015457,4
NCT00016354,1
NCT00019604,39
NCT00021229,84
NCT00021255,540
NCT00021541,40
NCT00022516,233
NCT00022633,37
NCT00022659,2
NCT00022672,241
NCT00022698,43
NCT00022763,26
NCT00023322,1
NCT00023452,2195
NCT00023595,40
NCT00023673,2
NCT00023712,3
NCT00023764,14
NCT00024167,100
NCT00024258,9
NCT00025155,2
NCT00025233,4
NCT00025259,468
NCT00025506,10
NCT00025662,3
NCT00025883,17
NCT00026208,1
NCT00026312,303
NCT00026494,8
NCT00026793,8
NCT00027027,21
NCT00027378,3
NCT00027560,1
NCT00027846,107
NCT00028002,11
NCT00028769,41
NCT00029146,3
NCT00030823,1
NCT00030901,356
NCT00031447,17
NCT00031460,23
NCT00031486,19
NCT00031551,2
NCT00031590,3
NCT00031694,19
NCT00032487,259
NCT00033293,28
NCT00033371,16
NCT00033514,5
NCT00033540,57
NCT00033631,33
NCT00033657,63
NCT00035555,54
NCT00035815,28
NCT00035932,165
NCT00036270,6066
NCT00037830,18
NCT00038103,111
NCT00038142,29
NCT00038467,1084
NCT00038649,9
NCT00038948,246
NCT00039130,30
NCT00039377,22
NCT00039741,52
NCT00039871,1384
NCT00040365,11
NCT00040664,106
NCT00040742,168
NCT00041067,76
NCT00041080,40
NCT00041132,30
NCT00041470,38
NCT00041756,112
NCT00042289,139
NCT00042432,16
NCT00042666,54
NCT00042939,45
NCT00042991,64
NCT00043186,150
NCT00043550,54
NCT00043979,14
NCT00044083,21
NCT00044213,486
NCT00044512,2
NCT00045032,2297
NCT00045110,8
NCT00045162,260
NCT00045305,14
NCT00045630,6
NCT00045708,1
NCT00045734,1
NCT00045942,144
NCT00046839,3
NCT00046891,59
NCT00046930,16
NCT00047008,22
NCT00047320,28
NCT00047385,767
NCT00047463,3
NCT00047879,7
NCT00048035,38
NCT00048048,16
NCT00048061,311
NCT00048074,265
NCT00048165,105
NCT00048347,2
NCT00048542,71
NCT00048568,265
NCT00048581,236
NCT00048724,234
NCT00048932,651
NCT00048997,16
NCT00049127,1
NCT00049257,17
NCT00049322,7
NCT00049517,309
NCT00049530,32
NCT00049543,11
NCT00049673,4
NCT00049842,183
NCT00050011,247
NCT00050167,2
NCT00050622,1
NCT00050778,84
NCT00050960,606
NCT00051025,6
NCT00051311,26
