nct_id,study_result
NCT00000378,success
NCT00000392,fail
NCT00000620,fail
NCT00001656,success
NCT00001723,success
NCT00001959,success
NCT00002525,fail
NCT00002540,unknown
NCT00002597,success
NCT00002651,success
NCT00002850,fail
NCT00002874,success
NCT00003222,success
NCT00003389,fail
NCT00003404,unknown
NCT00003641,fail
NCT00003869,fail
NCT00003895,success
NCT00003901,success
NCT00004054,fail
NCT00004124,fail
NCT00004146,fail
NCT00004228,fail
NCT00004259,fail
NCT00004412,success
NCT00004732,unknown
NCT00004859,fail
NCT00004978,fail
NCT00004980,success
NCT00005044,fail
NCT00005947,fail
NCT00005957,fail
NCT00006011,unknown
NCT00006170,success
NCT00006237,success
NCT00006289,success
NCT00006305,fail
NCT00006392,success
NCT00006400,fail
NCT00006721,fail
NCT00007475,success
NCT00008385,fail
NCT00009737,fail
NCT00010374,success
NCT00010803,fail
NCT00013611,fail
NCT00014222,success
NCT00014911,unknown
NCT00017953,fail
NCT00019682,success
NCT00022516,fail
NCT00023309,success
NCT00023452,unknown
NCT00023595,success
NCT00024102,success
NCT00025883,success
NCT00026312,fail
NCT00027378,success
NCT00028093,fail
NCT00029146,fail
NCT00030901,fail
NCT00032487,success
NCT00032591,fail
NCT00033293,success
NCT00033631,fail
NCT00035815,fail
NCT00035932,unknown
NCT00036270,fail
NCT00037830,success
NCT00038103,unknown
NCT00038467,success
NCT00038948,fail
NCT00039741,fail
NCT00039871,unknown
NCT00040443,success
NCT00040742,success
NCT00040937,unknown
NCT00041119,unknown
NCT00041938,fail
NCT00042289,success
NCT00042432,success
NCT00043186,success
NCT00043550,success
NCT00044044,success
NCT00044083,success
NCT00045032,success
NCT00045435,unknown
NCT00046228,fail
NCT00046475,success
NCT00046891,fail
NCT00046930,fail
NCT00047008,fail
NCT00047385,success
NCT00047463,fail
NCT00047853,success
NCT00048035,unknown
NCT00048048,unknown
NCT00048061,success
NCT00048074,success
NCT00048165,success
NCT00048542,success
NCT00048568,success
NCT00048581,success
NCT00048724,fail
NCT00048997,fail
NCT00049530,success
NCT00049543,fail
NCT00049673,fail
NCT00050089,fail
NCT00050778,success
NCT00051363,success
NCT00051558,success
NCT00052910,unknown
NCT00053703,success
NCT00053846,fail
NCT00054275,fail
NCT00054704,fail
NCT00054717,success
NCT00054847,fail
NCT00055237,unknown
NCT00055497,success
NCT00056316,success
NCT00056407,success
NCT00056472,success
NCT00057577,success
NCT00057876,success
NCT00058019,success
NCT00058058,unknown
NCT00059215,fail
NCT00059332,fail
NCT00060008,success
NCT00060944,success
NCT00061633,fail
NCT00062010,unknown
NCT00062647,unknown
NCT00063232,success
NCT00063622,success
NCT00063635,fail
NCT00063882,fail
NCT00064025,fail
NCT00064350,success
NCT00064662,success
NCT00064701,unknown
NCT00064753,fail
NCT00064792,success
NCT00064844,success
NCT00065065,success
NCT00065182,fail
NCT00065442,success
NCT00065468,success
NCT00065507,success
NCT00065611,fail
NCT00066066,success
NCT00066170,success
NCT00066222,unknown
NCT00066573,fail
NCT00066690,fail
NCT00066703,success
NCT00066937,success
NCT00066963,success
NCT00067236,fail
NCT00067470,success
NCT00068107,success
NCT00068250,success
NCT00068445,fail
NCT00068692,fail
NCT00068770,fail
NCT00068822,fail
NCT00069095,success
NCT00069108,success
NCT00069121,success
NCT00069160,success
NCT00069576,fail
NCT00069641,success
NCT00069784,fail
NCT00069823,fail
NCT00070499,fail
NCT00070564,success
NCT00070707,fail
NCT00071032,unknown
NCT00071487,fail
NCT00071513,success
NCT00071721,fail
NCT00071799,success
NCT00071812,success
NCT00071890,success
NCT00071981,success
NCT00072293,success
NCT00072462,fail
NCT00073021,success
NCT00073307,success
NCT00073528,success
NCT00074412,success
NCT00074581,success
NCT00074802,fail
NCT00074984,fail
NCT00075218,success
NCT00075270,fail
NCT00075478,fail
NCT00075764,success
NCT00075946,success
NCT00076024,fail
NCT00076219,fail
NCT00076258,success
NCT00076804,fail
NCT00077376,unknown
NCT00077610,success
NCT00077623,success
NCT00077636,success
NCT00077675,fail
NCT00077766,success
NCT00077974,unknown
NCT00078286,fail
NCT00078325,success
NCT00078338,fail
NCT00078377,success
NCT00078403,fail
NCT00078559,unknown
NCT00078715,fail
NCT00078754,fail
NCT00078819,success
NCT00078897,fail
NCT00078949,success
NCT00079001,fail
NCT00079677,success
NCT00080119,fail
NCT00080288,success
NCT00080301,success
NCT00080912,success
NCT00081458,success
NCT00081497,success
NCT00081770,fail
NCT00082381,fail
NCT00082407,fail
NCT00082433,success
NCT00082628,success
NCT00083174,success
NCT00083759,fail
NCT00083889,success
NCT00084136,success
NCT00084266,success
NCT00084318,success
NCT00084929,unknown
NCT00085202,success
NCT00085254,success
NCT00085644,success
NCT00085709,success
NCT00085735,unknown
NCT00086047,success
NCT00086138,fail
NCT00086281,success
NCT00086307,success
NCT00086346,fail
NCT00086411,success
NCT00086450,success
NCT00086502,success
NCT00086515,success
NCT00086580,success
NCT00087022,fail
NCT00087438,success
NCT00087490,fail
NCT00087516,success
NCT00087529,fail
NCT00087555,success
NCT00087594,unknown
NCT00087607,fail
NCT00087633,fail
NCT00087646,success
NCT00088153,success
NCT00088452,success
NCT00088634,success
NCT00088907,fail
NCT00089141,fail
NCT00089505,success
NCT00089648,unknown
NCT00089661,success
NCT00089674,success
NCT00089791,success
NCT00089843,success
NCT00089986,fail
NCT00089999,fail
NCT00090051,success
NCT00090103,success
NCT00090220,unknown
NCT00090233,success
NCT00090259,success
NCT00090285,unknown
NCT00090402,fail
NCT00090519,fail
NCT00090584,fail
NCT00090779,success
NCT00090857,success
NCT00091026,fail
NCT00091169,fail
NCT00091390,success
NCT00091442,success
NCT00091507,fail
NCT00091572,fail
NCT00091793,success
NCT00091819,unknown
NCT00091832,fail
NCT00091949,success
NCT00092443,success
NCT00092456,success
NCT00092495,success
NCT00092521,unknown
NCT00092534,unknown
NCT00092677,fail
NCT00093015,fail
NCT00093470,success
NCT00094172,fail
NCT00094302,fail
NCT00094328,fail
NCT00094458,success
NCT00094536,fail
NCT00094575,fail
NCT00094653,success
NCT00094757,success
NCT00094809,success
NCT00094861,fail
NCT00094887,fail
NCT00095121,success
NCT00095147,success
NCT00095173,success
NCT00095199,fail
NCT00095212,success
NCT00095303,fail
NCT00095498,success
