nct_id,reached_fda_milestone
NCT00000125,False
NCT00000134,False
NCT00000136,False
NCT00000142,False
NCT00000143,False
NCT00000167,False
NCT00000170,False
NCT00000177,False
NCT00000403,False
NCT00000427,False
NCT00000432,False
NCT00000436,False
NCT00000470,False
NCT00000479,True
NCT00000538,False
NCT00000607,False
NCT00000620,False
NCT00001267,False
NCT00001296,False
NCT00001629,False
NCT00001646,False
NCT00001729,False
NCT00001768,False
NCT00001864,False
NCT00001937,False
NCT00002429,False
NCT00002528,True
NCT00002529,True
NCT00002542,False
NCT00002544,False
NCT00002551,True
NCT00002561,False
NCT00002565,True
NCT00002566,False
NCT00002569,False
NCT00002576,False
NCT00002582,False
NCT00002593,False
NCT00002596,False
NCT00002610,True
NCT00002611,False
NCT00002615,False
NCT00002622,False
NCT00002633,False
NCT00002644,False
NCT00002654,False
NCT00002703,False
NCT00002707,True
NCT00002757,False
NCT00002766,True
NCT00002784,True
NCT00002789,False
NCT00002816,False
NCT00002822,False
NCT00002870,False
NCT00002883,False
NCT00002894,False
NCT00002897,False
NCT00002898,False
NCT00002942,False
NCT00002944,True
NCT00002945,False
NCT00002953,False
NCT00002995,False
NCT00003013,False
NCT00003014,False
NCT00003032,False
NCT00003052,False
NCT00003088,False
NCT00003092,False
NCT00003093,True
NCT00003115,False
NCT00003117,True
NCT00003159,False
NCT00003187,False
NCT00003280,False
NCT00003290,False
NCT00003299,False
NCT00003315,False
NCT00003317,True
NCT00003341,False
NCT00003375,False
NCT00003387,True
NCT00003414,False
NCT00003421,False
NCT00003422,False
NCT00003424,False
NCT00003436,False
NCT00003592,False
NCT00003596,False
NCT00003607,False
NCT00003610,True
NCT00003627,False
NCT00003638,False
NCT00003652,False
NCT00003653,False
NCT00003674,False
NCT00003684,False
NCT00003695,False
NCT00003701,False
NCT00003724,False
NCT00003739,False
NCT00003749,False
NCT00003779,False
NCT00003782,True
NCT00003814,False
NCT00003830,False
NCT00003831,False
NCT00003855,False
NCT00003869,False
NCT00003883,False
NCT00003884,False
NCT00003888,False
NCT00003912,False
NCT00003937,False
NCT00003991,False
NCT00004001,False
NCT00004011,True
NCT00004031,True
NCT00004067,True
NCT00004179,False
NCT00004205,True
NCT00004230,False
NCT00004259,False
NCT00004266,True
NCT00004286,False
NCT00004297,False
NCT00004402,False
NCT00004421,False
NCT00004467,False
NCT00004474,True
NCT00004563,False
NCT00004635,True
NCT00004640,False
NCT00004647,False
NCT00004690,False
NCT00004939,False
NCT00004984,False
NCT00004992,False
NCT00005060,False
NCT00005583,False
NCT00005589,False
NCT00005596,True
NCT00005648,False
NCT00005775,False
NCT00005778,False
NCT00005782,False
NCT00005867,False
NCT00005945,True
NCT00005975,False
NCT00006124,False
NCT00006145,False
NCT00006164,False
NCT00006183,False
NCT00006206,False
NCT00006229,False
NCT00006232,False
NCT00006286,False
NCT00006305,False
NCT00006349,False
NCT00006398,True
NCT00006565,False
NCT00006734,True
NCT00006799,False
NCT00007605,False
NCT00007657,False
NCT00007670,False
NCT00008411,False
NCT00009945,False
NCT00010452,False
NCT00011362,False
NCT00011986,True
NCT00012051,False
NCT00014222,False
NCT00014612,False
NCT00014989,False
NCT00015665,False
NCT00015873,False
NCT00016380,False
NCT00016406,True
NCT00016653,False
NCT00017147,True
NCT00017719,False
NCT00018005,False
NCT00018174,True
NCT00018902,True
NCT00019682,False
NCT00020787,True
NCT00021450,False
NCT00021502,False
NCT00021697,False
NCT00021736,False
NCT00021814,False
NCT00022087,False
NCT00022672,False
NCT00023192,False
NCT00023452,False
NCT00023686,False
NCT00024102,False
NCT00025818,False
NCT00025909,False
NCT00026117,False
NCT00026338,False
NCT00026637,False
NCT00027248,False
NCT00027417,False
NCT00028756,True
NCT00029198,False
NCT00029211,False
NCT00029536,False
NCT00029835,False
NCT00029848,False
NCT00030238,False
NCT00030628,False
NCT00030732,False
NCT00030901,False
NCT00030914,True
NCT00030966,False
NCT00031395,False
NCT00031824,False
NCT00032240,False
NCT00032305,False
NCT00032344,False
NCT00032357,False
NCT00032435,False
NCT00032448,False
NCT00032617,False
NCT00032760,False
NCT00032799,False
NCT00032968,False
NCT00033007,False
NCT00033020,False
NCT00033293,True
NCT00033917,False
NCT00033943,False
NCT00033982,False
NCT00034645,False
NCT00034749,False
NCT00034983,False
NCT00035009,False
NCT00035048,False
NCT00035191,False
NCT00035230,False
NCT00035269,False
NCT00035360,False
NCT00035399,False
NCT00035594,False
NCT00035802,False
NCT00035932,False
NCT00035984,False
NCT00036153,False
NCT00036218,False
NCT00036270,False
NCT00036361,False
NCT00037154,False
NCT00037206,False
NCT00037557,False
NCT00037635,False
NCT00037791,False
NCT00037869,False
NCT00038064,False
NCT00038090,False
NCT00038116,False
NCT00038233,False
NCT00038311,False
NCT00038402,True
NCT00038467,True
NCT00038558,False
NCT00038961,False
NCT00038974,True
NCT00039000,False
NCT00039013,False
NCT00039026,False
NCT00039741,False
NCT00039780,False
NCT00039871,False
NCT00039910,False
NCT00040183,False
NCT00040261,False
NCT00040326,False
NCT00040495,False
NCT00040742,False
NCT00041015,False
NCT00041483,False
NCT00041769,False
NCT00041925,False
NCT00041938,False
NCT00042029,False
NCT00042068,False
NCT00042211,False
NCT00042458,False
NCT00042718,False
NCT00042770,False
NCT00042848,False
NCT00043381,False
NCT00043888,False
NCT00044291,False
NCT00044395,False
NCT00044447,False
NCT00044473,False
NCT00044577,False
NCT00044668,False
NCT00044681,False
NCT00044772,False
NCT00044824,False
NCT00045032,True
NCT00045162,False
NCT00046150,False
NCT00046176,False
NCT00046228,False
NCT00046241,False
NCT00046865,False
NCT00046891,False
NCT00047008,True
NCT00047112,True
NCT00047385,False
NCT00047411,False
NCT00047437,False
NCT00047580,False
NCT00047645,False
NCT00047723,False
NCT00048061,False
NCT00048113,False
NCT00048360,False
NCT00048425,False
NCT00048581,False
NCT00048607,False
NCT00048724,False
NCT00048997,False
NCT00049543,False
NCT00049673,True
NCT00049764,False
NCT00050232,False
NCT00050479,False
NCT00050583,False
NCT00050843,False
NCT00050856,False
NCT00050947,False
NCT00051129,False
NCT00051272,False
NCT00051298,False
NCT00051363,False
NCT00051415,False
NCT00052026,True
NCT00052091,False
NCT00052104,False
NCT00052468,False
NCT00052910,True
NCT00053352,False
NCT00053768,False
NCT00053820,False
NCT00053976,False
NCT00055679,True
NCT00055731,True
NCT00056160,True
NCT00056225,False
NCT00056264,False
NCT00056368,False
NCT00056407,False
NCT00056446,False
NCT00056472,False
NCT00056511,False
NCT00056524,False
NCT00056563,False
NCT00056628,False
NCT00056836,False
NCT00057018,False
NCT00057278,False
NCT00057564,False
NCT00057629,False
NCT00058357,False
NCT00058838,False
NCT00058890,True
NCT00058968,False
NCT00059280,False
NCT00059306,False
NCT00059371,False
NCT00060476,False
NCT00061022,False
NCT00061321,False
NCT00061516,False
NCT00061542,False
NCT00061919,False
NCT00061984,False
NCT00062556,False
NCT00062595,False
NCT00062673,False
NCT00063453,False
NCT00063635,False
NCT00063687,False
NCT00063999,True
NCT00064038,True
NCT00064194,False
NCT00064389,False
NCT00064402,False
NCT00064441,False
NCT00064454,False
NCT00064467,False
NCT00064662,False
NCT00064701,True
NCT00064753,False
NCT00064922,False
NCT00064935,False
NCT00065130,False
NCT00065273,False
NCT00065507,False
NCT00065611,False
NCT00065637,False
NCT00065689,False
NCT00065832,False
NCT00065858,False
NCT00065962,False
NCT00065988,False
NCT00066131,False
NCT00066170,False
NCT00066573,True
NCT00066950,True
NCT00066963,False
NCT00067301,False
NCT00067470,False
NCT00067561,False
NCT00068601,True
NCT00068822,False
NCT00068861,False
NCT00068952,False
NCT00069121,True
NCT00069784,False
NCT00069836,False
NCT00070148,False
NCT00070213,True
NCT00070655,False
NCT00070824,False
NCT00071279,False
NCT00071461,False
NCT00071747,False
NCT00071799,False
NCT00072046,False
NCT00072384,True
NCT00072462,False
NCT00072761,False
NCT00072904,False
NCT00073021,False
NCT00073320,False
NCT00073528,True
NCT00073684,False
NCT00073814,False
NCT00073840,False
NCT00074542,False
NCT00074815,False
NCT00075088,False
NCT00075101,False
NCT00075114,False
NCT00075270,False
NCT00075764,True
NCT00075816,False
NCT00075829,False
NCT00075855,False
NCT00076050,False
NCT00076076,False
NCT00076089,False
NCT00076219,False
NCT00076388,False
NCT00076973,False
NCT00077584,False
NCT00077623,False
NCT00077727,False
NCT00077766,False
NCT00077792,False
NCT00077935,False
NCT00078117,False
NCT00078286,False
NCT00078312,False
NCT00078325,False
NCT00078572,False
NCT00078611,False
NCT00078767,False
NCT00078949,True
NCT00079001,True
NCT00079066,False
NCT00079274,True
NCT00079417,False
NCT00079651,False
NCT00079833,False
NCT00079937,False
NCT00079989,False
NCT00080288,False
NCT00080314,False
NCT00080470,False
NCT00081380,False
NCT00081458,False
NCT00081484,False
NCT00081575,False
NCT00081744,False
NCT00081770,False
NCT00081796,False
NCT00082511,False
NCT00082576,False
NCT00082602,False
NCT00083174,False
NCT00083304,False
NCT00083889,False
NCT00084071,False
NCT00084188,False
NCT00085098,True
NCT00085202,True
NCT00085644,False
NCT00085709,False
NCT00085774,False
NCT00085891,False
NCT00085956,False
NCT00086047,False
NCT00086320,False
NCT00086385,False
NCT00086502,False
NCT00086541,False
NCT00086593,False
NCT00086658,False
NCT00087022,False
NCT00088075,False
NCT00088166,False
NCT00088179,False
NCT00088452,False
NCT00088478,False
NCT00088491,False
NCT00089479,False
NCT00089505,True
NCT00089570,False
NCT00089661,False
NCT00089674,False
NCT00089843,False
NCT00089895,False
NCT00090116,False
NCT00090220,False
NCT00090233,False
NCT00090259,False
NCT00090272,False
NCT00090285,False
NCT00090298,False
NCT00090311,False
NCT00090337,False
NCT00090493,False
NCT00090519,False
NCT00090623,False
NCT00090753,False
NCT00090766,False
NCT00091169,False
NCT00091351,False
NCT00091572,True
NCT00091598,False
NCT00091650,False
NCT00091793,False
NCT00091858,True
NCT00091949,False
NCT00092027,False
NCT00092040,False
NCT00092079,False
NCT00092105,False
NCT00092118,False
NCT00092144,False
NCT00092157,False
NCT00092209,False
NCT00092326,False
NCT00092352,False
NCT00092365,False
NCT00092417,False
NCT00092430,False
NCT00092443,False
NCT00092456,False
NCT00092469,False
NCT00092508,False
NCT00092573,False
NCT00092651,False
NCT00092716,False
NCT00092729,False
NCT00092742,False
NCT00092781,False
NCT00092807,False
NCT00092859,False
NCT00092989,False
NCT00093028,False
NCT00093054,False
NCT00093093,False
NCT00093158,False
NCT00093184,False
NCT00093249,False
NCT00093886,False
NCT00093899,False
NCT00093912,True
NCT00093925,True
NCT00093977,False
NCT00093990,False
NCT00094302,True
NCT00094367,False
NCT00094458,False
NCT00094653,False
NCT00094679,False
NCT00094731,False
NCT00094744,False
NCT00094770,False
NCT00094926,False
NCT00094991,False
NCT00095004,False
NCT00095082,False
NCT00095134,False
NCT00095147,False
NCT00095199,True
NCT00095303,False
NCT00095368,False
NCT00095394,False
NCT00095511,False
NCT00095719,False
NCT00095758,False
NCT00095875,True
NCT00096278,False
NCT00096408,False
NCT00096421,False
NCT00096473,False
NCT00096603,False
NCT00096759,False
NCT00096785,False
NCT00096967,False
NCT00097071,False
NCT00097084,False
NCT00097097,False
NCT00097266,False
NCT00097279,False
NCT00097357,False
NCT00097448,False
NCT00097591,False
NCT00097695,False
NCT00097786,False
NCT00097812,False
NCT00097877,False
NCT00097981,True
NCT00098007,False
NCT00098046,False
NCT00098124,False
NCT00098306,False
NCT00098319,False
NCT00098722,False
NCT00098748,False
NCT00099216,False
NCT00099229,False
NCT00099242,False
NCT00099294,False
NCT00099320,False
NCT00099502,False
NCT00099619,False
NCT00099788,False
NCT00099918,False
NCT00099931,False
NCT00100009,False
NCT00100191,False
NCT00100269,False
NCT00100308,False
NCT00100399,False
NCT00100620,False
NCT00101387,False
NCT00101569,False
NCT00101738,False
NCT00101803,False
NCT00101933,False
NCT00102063,False
NCT00102141,False
NCT00102167,False
NCT00102193,False
NCT00102336,False
NCT00102362,False
NCT00102375,False
NCT00102466,False
NCT00102804,False
NCT00102817,False
NCT00102960,True
NCT00103168,False
NCT00103285,True
NCT00103402,False
NCT00103454,False
NCT00103493,False
NCT00103792,True
NCT00103818,False
NCT00103857,False
NCT00104013,False
NCT00104052,False
NCT00104299,True
NCT00104416,False
NCT00104533,False
NCT00104715,True
NCT00104741,True
NCT00105027,False
NCT00105079,False
NCT00105144,False
NCT00105183,False
NCT00105469,False
NCT00105508,False
NCT00105521,False
NCT00105534,False
NCT00105547,False
NCT00105989,False
NCT00106028,False
NCT00106132,False
NCT00106288,False
NCT00106340,False
NCT00106509,False
NCT00106522,False
NCT00106561,False
NCT00106691,False
NCT00107172,False
NCT00107263,True
NCT00107627,False
NCT00107731,False
NCT00107757,False
NCT00107796,False
NCT00107809,False
NCT00107822,False
NCT00107926,False
NCT00107978,False
NCT00108004,False
NCT00108017,False
NCT00108082,True
NCT00108576,False
NCT00108979,False
NCT00109330,False
NCT00109486,False
NCT00109551,False
NCT00109616,False
NCT00110019,True
NCT00110227,False
NCT00110240,False
NCT00110461,False
NCT00110630,False
NCT00110669,False
NCT00110747,False
NCT00110773,False
NCT00110838,False
NCT00110955,False
NCT00110968,False
NCT00111098,True
NCT00111501,False
NCT00111527,False
NCT00111709,False
NCT00111722,False
NCT00111956,False
NCT00112008,False
NCT00112047,False
NCT00112190,False
NCT00112268,False
NCT00112294,False
NCT00112359,False
NCT00112554,False
NCT00112658,True
NCT00112996,False
NCT00113308,False
NCT00113568,False
NCT00113594,False
NCT00113607,True
NCT00113620,False
NCT00113763,False
NCT00113815,True
NCT00113906,False
NCT00114088,False
NCT00114127,False
NCT00114387,False
NCT00114400,False
NCT00114686,False
NCT00114777,False
NCT00114816,False
NCT00114868,False
NCT00115024,False
NCT00115050,False
NCT00115258,False
NCT00115271,False
NCT00115570,False
NCT00115609,False
NCT00115622,False
NCT00115765,False
NCT00115791,False
NCT00115804,True
NCT00115830,False
NCT00115869,False
NCT00116142,True
NCT00116207,False
NCT00116298,False
NCT00116428,False
NCT00116545,False
NCT00116584,False
NCT00116805,False
NCT00116818,False
NCT00116857,False
NCT00116870,False
NCT00116883,False
NCT00117052,False
NCT00117273,False
NCT00117286,True
NCT00117325,False
NCT00117338,False
NCT00117572,False
NCT00117598,False
NCT00117676,False
NCT00117754,False
NCT00118001,False
NCT00118404,False
NCT00118729,False
NCT00118820,False
NCT00119496,False
NCT00119613,False
NCT00119626,False
NCT00119704,False
NCT00120003,False
NCT00120120,False
NCT00120211,False
NCT00120432,False
NCT00120445,False
NCT00120536,False
NCT00120757,False
NCT00120809,False
NCT00121069,False
NCT00121108,False
NCT00121303,True
NCT00121602,True
NCT00121641,False
NCT00121901,False
NCT00121992,True
NCT00122317,False
NCT00122330,False
NCT00122356,False
NCT00122382,False
NCT00122460,False
NCT00122616,False
NCT00122837,False
NCT00122850,False
NCT00122941,False
NCT00123253,False
NCT00123318,False
NCT00123474,False
NCT00123526,False
NCT00123552,False
NCT00124059,True
NCT00124072,False
NCT00124306,False
NCT00124371,False
NCT00124436,False
NCT00124475,False
NCT00124761,False
NCT00124774,False
NCT00124982,True
NCT00125255,False
NCT00125879,False
NCT00125892,False
NCT00125957,False
NCT00126048,False
NCT00126256,False
NCT00126399,False
NCT00126425,False
NCT00126438,False
NCT00127023,False
NCT00127166,True
NCT00127179,False
NCT00127218,False
NCT00127283,False
NCT00127478,False
NCT00127530,False
NCT00127673,False
NCT00127764,False
NCT00128076,False
NCT00128102,False
NCT00128167,False
NCT00128310,False
NCT00128323,False
NCT00128388,False
NCT00128427,False
NCT00128479,False
NCT00128492,False
NCT00128505,False
NCT00128531,False
NCT00128557,False
NCT00128739,False
