NCT_Number,PMID
NCT00000113,"[24408976, 24576881]"
NCT00000116,[37261916]
NCT00000125,"[17420364, 20212196, 22159015, 23229692, 23349433, 28818061, 33856434, 35869438, 38483402, 39509108]"
NCT00000135,[31042791]
NCT00000142,[31042791]
NCT00000145,"[19508997, 29978186, 35957743]"
NCT00000167,[22039251]
NCT00000368,[26663632]
NCT00000374,[21939612]
NCT00000399,[25785226]
NCT00000409,[17538085]
NCT00000410,"[17119140, 17119141]"
NCT00000411,[18287602]
NCT00000456,[22156609]
NCT00000470,[21875911]
NCT00000479,"[17161253, 17701157, 17704543, 17938390, 18043905, 18598891, 18687721, 20488302, 20573799, 20697028, 20980491, 22438520, 23856681, 24248942, 24345402, 24860180, 25249300, 25475110, 25908766, 26180251, 26951635, 27099252, 27902713, 28174174, 28775061, 30021845, 32102617, 32354380, 34264743, 35259270, 38276920, 39167748, 39216091]"
NCT00000538,[32492148]
NCT00000569,[26024688]
NCT00000575,"[22938716, 27168434, 27367781, 29940952]"
NCT00000620,"[18539917, 20061358, 20061360, 20228401, 20228404, 20587587, 20594588, 21366473, 22450889, 22515638, 22646230, 24493100, 25088437, 25652389, 25666468, 26261902, 26459421, 26476086, 28030716, 28832365, 28939617, 30715100, 30857410, 32138746, 32213183, 34326100, 34421824, 34518266, 34610830, 34764938, 34777240, 35105339, 35144636, 35346165, 35399955, 35584801, 35668633, 35999546, 36034445, 36227718, 36353230, 36546623, 36905248, 37715820, 38179309, 38513321, 38904908]"
NCT00001221,[21449786]
NCT00001262,"[18256395, 25281031]"
NCT00001337,"[23574119, 24224624, 25024303, 34432874, 35882475]"
NCT00001832,[22555974]
NCT00001848,"[18165396, 21145540, 21775836]"
NCT00001925,[20130244]
NCT00001934,[19364933]
NCT00001964,[34724566]
NCT00002523,"[16971718, 24440473]"
NCT00002542,[28379421]
NCT00002548,[22689675]
NCT00002550,[19632716]
NCT00002561,"[22149921, 24121121]"
NCT00002575,[18948801]
NCT00002597,"[21751904, 36710205, 38320143]"
NCT00002611,[37933882]
NCT00002633,[22056152]
NCT00002641,[22954508]
NCT00002651,"[23550669, 25087673, 26720308]"
NCT00002663,[31689242]
NCT00002665,[18156492]
NCT00002720,[23154393]
NCT00002744,[20124218]
NCT00002864,"[24451146, 26728744, 28379421]"
NCT00002874,"[28146658, 32215583, 33570548]"
NCT00003052,"[29450452, 34666214]"
NCT00003093,[20879880]
NCT00003117,[32951293]
NCT00003140,"[27264120, 33853037]"
NCT00003211,[17012043]
NCT00003375,"[27050206, 32706640]"
NCT00003389,[23386127]
NCT00003577,"[17079759, 24915873, 25897014]"
NCT00003593,[21849481]
NCT00003594,"[27083333, 31104167]"
NCT00003596,[18430910]
NCT00003638,[23983823]
NCT00003653,"[22931259, 33390282]"
NCT00003779,[24674149]
NCT00003782,[20519679]
NCT00003830,"[17851130, 20863759, 21247310]"
NCT00003831,[20829340]
NCT00003838,"[19667400, 23813900, 29705733]"
NCT00003854,"[21791687, 32043193]"
NCT00003855,"[21304082, 28898379]"
NCT00003888,[17960012]
NCT00003893,[31785830]
NCT00003906,"[16754728, 16754727]"
NCT00003912,[19846851]
NCT00003937,[32154021]
NCT00003966,[32950693]
NCT00003991,[21429214]
NCT00004001,[28586789]
NCT00004010,[21079154]
NCT00004031,"[24171516, 24625415]"
NCT00004054,[30887820]
NCT00004067,"[16236738, 27812689, 31622131, 39191270]"
NCT00004205,"[16382061, 18083065, 19692688, 21635709, 22018631, 26387144, 26633571, 29902286, 30795773]"
NCT00004227,"[16467544, 19897418, 27389475]"
NCT00004467,[31421008]
NCT00004562,"[17105759, 19194534, 19228620, 20547926]"
NCT00004563,"[18641099, 19892673, 26704522, 26757749, 29099620]"
NCT00004935,"[31500588, 32046665]"
NCT00004978,"[19828532, 22911697, 24870935]"
NCT00004992,"[16855264, 17898990, 22683134, 24317794, 25775165, 25851102, 27551991, 27784733, 28702228, 28770322, 30646133, 31009939, 32084251, 33428709, 33789908, 35603600, 36131333, 37607422, 39744353]"
NCT00005014,[26802979]
NCT00005044,[38320143]
NCT00005047,[25413313]
NCT00005596,"[18388178, 22368272, 23007406, 23233662]"
NCT00005780,[35882475]
NCT00005803,[32499241]
NCT00005945,[31160295]
NCT00005947,"[24957547, 25189164]"
NCT00005970,"[16236738, 26429296, 26469139, 29898752, 31622131, 34980541, 39191270]"
NCT00006164,"[19052125, 20070284, 21083592, 24886378]"
NCT00006170,[20308641]
NCT00006180,[22235252]
NCT00006183,"[20606124, 27837950]"
NCT00006206,"[16670409, 18250251, 30865232]"
NCT00006286,"[17450048, 18391133, 19877976, 20215935, 30145512, 30768414, 30856378, 38126083]"
NCT00006305,"[19463459, 19502645, 20937978, 21444887, 21768545, 21835316, 21911782, 22496082, 23008442, 23410541, 23500245, 23500281, 23857320, 26267622, 26271057, 27289411, 28126156, 28903941, 30286920, 31590967]"
NCT00006392,"[19066370, 21990298, 27519183]"
NCT00006398,[16306522]
NCT00006400,"[19621454, 19731330, 19813252, 19856395, 21217080, 21571150, 21744485, 22012708, 22190441, 22915643]"
NCT00006401,[16870914]
NCT00006436,[24224624]
NCT00006455,[21444917]
NCT00006489,[23925619]
NCT00006734,"[23091096, 25464386, 26508901, 28787430]"
NCT00007150,[24916507]
NCT00007345,"[28264616, 28853310]"
NCT00007501,[20439572]
NCT00007644,"[22808955, 28700844]"
NCT00007657,"[17387127, 18703470, 19778673, 20338496, 21304091, 21718908, 23500281, 23838107, 23973693, 24440015, 26559572, 29752388, 30384885, 30773025, 31023428]"
NCT00009646,[21727276]
NCT00009906,[28196207]
NCT00009945,[22704583]
NCT00010452,[19117316]
NCT00010803,"[19017911, 20040554, 20123670]"
NCT00011986,"[23969788, 30633128, 37148580, 37229879]"
NCT00013611,"[19828532, 24870935]"
NCT00014001,"[20816031, 24569099, 25075930, 25562591, 26581028, 27180047, 32220153, 35314708, 36031632]"
NCT00014222,[28379421]
NCT00014612,"[25439688, 26488192]"
NCT00014911,"[17005949, 29654388]"
NCT00014989,"[18753646, 20027029, 26254839]"
NCT00015002,[17881751]
NCT00015873,[20592248]
NCT00016068,[25560711]
NCT00016549,[17709827]
NCT00017173,[19770418]
NCT00018005,"[20858878, 26738949]"
NCT00018902,"[18314433, 21208583, 21383263, 21515198, 21784297, 22024002, 23582868, 23622849]"
NCT00019682,[21631324]
NCT00021255,[21991949]
NCT00021450,[34310202]
NCT00021528,"[16554525, 16554526, 18678792, 18681756, 19192454, 21114950, 23303512, 23442899, 23561231, 24912106, 24949937, 26717526, 26802021, 26803397, 27631142, 28858443, 32780949]"
NCT00021814,[26497345]
NCT00022139,[36251211]
NCT00022776,[25844995]
NCT00023309,[22449251]
NCT00023322,[34048594]
NCT00023335,[20610636]
NCT00023452,"[22150035, 25580725, 25904367, 26951571, 29393655, 38640958]"
NCT00023543,[20550691]
NCT00023595,"[19329820, 20670761, 20670760, 21463150, 21463153, 22553307, 22584648, 23500234, 23515275, 25023813, 25104523, 25222386, 26304663, 26363840, 26541919, 27040723, 27573034, 28446548, 29459462, 29531766, 30113633, 30571194, 30646130, 30698316, 30929973, 31433921, 31521682, 32843496, 35044802, 36060518, 36741102, 37692042]"
NCT00023998,[32154021]
NCT00024102,"[19439741, 29233548]"
NCT00024349,[33539743]
NCT00025883,[19727665]
NCT00027300,"[16510744, 37173129, 38469809]"
NCT00027417,[20837917]
NCT00027820,[32499241]
NCT00028262,[24997880]
NCT00028288,[18787222]
NCT00028756,[25498218]
NCT00028990,[18160686]
NCT00029146,"[22068990, 23101451]"
NCT00029770,[22213489]
NCT00029848,[17098084]
NCT00029861,[16478899]
NCT00030732,[18249033]
NCT00030771,[26275735]
NCT00030810,[19604722]
NCT00030966,"[16510745, 37173129]"
NCT00031395,[19877975]
NCT00031447,[21991950]
NCT00031460,[21991950]
NCT00031486,[25956891]
NCT00031590,[34540703]
NCT00031655,[32499241]
NCT00032019,[22133772]
NCT00032136,"[21247627, 28732650, 29885375, 35100692]"
NCT00032357,"[17299195, 23518844, 29302655]"
NCT00032435,[17848650]
NCT00032487,"[19092145, 26039600, 31167051]"
NCT00032591,[20961244]
NCT00032617,"[17327524, 24434093]"
NCT00032630,"[19890125, 22592900, 23916805, 31001997]"
NCT00032799,[16267322]
